Name,State,Prog Length,School Type,2013_DRate,2012_DRate,2011DRate
MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY,MO,8,1,4.2,3.1,3.8
WORCESTER STATE UNIVERSITY,MA,8,1,4.2,5.9,5.8
UNIVERSITY OF MARY,ND,8,2,4.2,5.2,4.6
LE MOYNE COLLEGE,NY,8,2,4.2,4.1,5.1
GEORGIAN COURT UNIVERSITY,NJ,8,2,4.2,4.7,2.6
UNIVERSITY OF MOUNT UNION,OH,8,2,4.2,4.2,7.3
DOMINICAN UNIVERSITY OF CALIFORNIA,CA,8,2,4.2,2.7,4.7
RIVIER UNIVERSITY,NH,8,2,4.2,2.1,4.3
WALLA WALLA UNIVERSITY,WA,8,2,4.2,3.5,4.1
SIMPSON UNIVERSITY,CA,8,2,4.2,3,5.5
MORAVIAN COLLEGE,PA,8,2,4.2,4,3.3
CROWN COLLEGE,MN,8,2,4.2,3.9,6.1
SAINT MARTIN'S UNIVERSITY,WA,8,2,4.2,5.8,6.1
HOLLINS UNIVERSITY,VA,8,2,4.2,2.5,5.5
SPA TECH INSTITUTE,ME,3,3,4.2,9.8,21.2
LYCOMING COLLEGE,PA,6,2,4.2,6.4,6.6
LANCASTER BIBLE COLLEGE,PA,8,2,4.2,5.7,4.3
EUREKA COLLEGE,IL,6,2,4.2,6.1,6.1
HANOVER COLLEGE,IN,6,2,4.2,4.1,5
SAN FRANCISCO INSTITUTE OF ESTHETICS & COSMETOLOGY,CA,3,3,4.2,7.2,7.4
HAWAII MEDICAL COLLEGE,HI,5,3,4.2,12.5,0
EVERGREEN BEAUTY AND BARBER COLLEGE,WA,3,3,4.2,4.3,8.2
OHIO STATE SCHOOL OF COSMETOLOGY,OH,4,3,4.2,11.3,15.9
SAN FRANCISCO CONSERVATORY OF MUSIC,CA,8,2,4.2,1.8,3.1
TONI & GUY HAIRDRESSING ACADEMY,MA,3,3,4.2,8.7,26.1
LANCASTER BEAUTY SCHOOL,CA,3,3,4.2,10.3,10.7
"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN",FC,8,5,4.2,1.6,1.4
VICTORIA'S ACADEMY OF COSMETOLOGY,WA,3,3,4.2,11.3,23.4
SKIN SCIENCE INSTITUTE OF LASER & ESTHETICS,UT,3,3,4.2,5.7,20.6
BLUE HILLS REGIONAL TECHNICAL SCHOOL,MA,3,1,4.2,11.3,12.2
HUSSIAN COLLEGE,PA,6,3,4.2,0,5.8
AMERICAN INSTITUTE OF MASSAGE THERAPY,CA,3,3,4.2,6.2,4.7
TEXAS A&M UNIVERSITY,TX,8,1,4.1,4.2,4.8
"CALIFORNIA STATE UNIVERSITY, FULLERTON",CA,8,1,4.1,3.5,5.6
"MINNESOTA STATE UNIVERSITY, MANKATO",MN,8,1,4.1,4.4,4.7
BAYLOR UNIVERSITY,TX,8,2,4.1,3.9,4.8
UNIVERSITY OF WISCONSIN - RIVER FALLS,WI,8,1,4.1,4.3,4.2
LEWIS UNIVERSITY,IL,8,2,4.1,4,5.2
BALDWIN WALLACE UNIVERSITY,OH,8,2,4.1,3.3,3.1
VITERBO UNIVERSITY,WI,8,2,4.1,2.8,5
DOANE UNIVERSITY,NE,8,2,4.1,3.2,2.7
EMMANUEL COLLEGE,MA,8,2,4.1,4.8,5.6
ORION COLLEGE,FL,6,3,4.1,3.2,6.6
CALIFORNIA INSTITUTE OF THE ARTS,CA,8,2,4.1,5.3,6.1
MILLIGAN COLLEGE,TN,8,2,4.1,5.5,2.8
CENTURA COLLEGE,SC,5,3,4.1,13.4,22.4
AVIATION INSTITUTE OF MAINTENANCE,TX,4,3,4.1,12.8,28.1
CLARKS SUMMIT UNIVERSITY,PA,8,2,4.1,4.1,3.6
OAKTON COMMUNITY COLLEGE,IL,5,1,4.1,7.6,11.6
ANTONELLI INSTITUTE,PA,5,3,4.1,6.2,5.2
TIFFIN ACADEMY OF HAIR DESIGN,OH,4,3,4.1,5.5,10.2
HEBREW COLLEGE,MA,8,2,4.1,3.8,4.8
CHURCH DIVINITY SCHOOL OF THE PACIFIC,CA,8,2,4.1,5,4
UNIVERSITY OF SOUTHAMPTON,FC,8,5,4.1,4,1.9
SAN FRANCISCO STATE UNIVERSITY,CA,8,1,4,5.7,7.2
UNIVERSITY OF RHODE ISLAND,RI,8,1,4,5.2,7.3
SOUTH DAKOTA STATE UNIVERSITY,SD,8,1,4,4.6,4.2
BRANDMAN UNIVERSITY,CA,8,2,4,3.3,3.5
LINCOLN MEMORIAL UNIVERSITY,TN,8,2,4,3.6,5.3
REGENT UNIVERSITY,VA,8,2,4,5.4,5.5
WESTERN NEW ENGLAND UNIVERSITY,MA,8,2,4,4.3,5.6
PRATT INSTITUTE,NY,8,2,4,4,6.6
FLAGLER COLLEGE,FL,6,2,4,4.6,6
ANDREWS UNIVERSITY,MI,8,2,4,5.3,7.6
TRINITY CHRISTIAN COLLEGE,IL,8,2,4,3.1,6
FOX COLLEGE,IL,5,3,4,6.4,6.8
LAKE FOREST COLLEGE,IL,8,2,4,5,4.6
SPARTAN COLLEGE OF AERONAUTICS & TECHNOLOGY,CA,5,3,4,5.9,12.6
SOUTHWESTERN UNIVERSITY,TX,6,2,4,6.2,8.4
ILLINOIS COLLEGE,IL,8,2,4,5,7.1
TAFT UNIVERSITY SYSTEM (THE),CO,8,3,4,0.6,3
MIAMI AD SCHOOL,FL,5,3,4,3.1,5.4
AMERICAN UNIVERSITY OF PARIS,FC,8,6,4,3,3.6
ACADEMY FOR SALON PROFESSIONALS (THE),CA,3,3,4,6.6,0
SENTARA COLLEGE OF HEALTH SCIENCES,VA,6,2,4,2.8,4.3
TONI & GUY HAIRDRESSING ACADEMY,WA,3,3,4,0,7.5
LIFE CHIROPRACTIC COLLEGE WEST,CA,7,2,4,1.6,3.9
NORTHEAST CATHOLIC COLLEGE,NH,6,2,4,8,10
UNIVERSITY OF DUNDEE,FC,8,5,4,6.2,7.3
TRINITY WESTERN UNIVERSITY,FC,8,6,4,0,2
HEC SCHOOL OF MANAGEMENT,FC,8,5,4,0,2
SAGE SCHOOL OF MASSAGE & ESTHETICS,OR,2,3,4,2.5,0
UNIVERSITY OF EAST-WEST MEDICINE,CA,8,3,4,2.2,2
"CALIFORNIA STATE UNIVERSITY, CHICO",CA,8,1,3.9,5.5,7.6
UNIVERSITY OF WISCONSIN - OSHKOSH,WI,8,1,3.9,4,4.5
CUNY HUNTER COLLEGE,NY,8,1,3.9,4.2,5.3
WINONA STATE UNIVERSITY,MN,8,1,3.9,4.1,4.4
WIDENER UNIVERSITY,PA,8,2,3.9,4.6,5.8
ASHLAND UNIVERSITY,OH,8,2,3.9,3.4,4.7
SONOMA STATE UNIVERSITY,CA,8,1,3.9,3.5,5.7
ST. CATHERINE UNIVERSITY,MN,8,2,3.9,4.9,5.2
WESTFIELD STATE UNIVERSITY,MA,8,1,3.9,2.6,4.6
KEENE STATE COLLEGE,NH,8,1,3.9,4.8,4
YORK COLLEGE OF PENNSYLVANIA,PA,8,2,3.9,3.8,4.9
NORWICH UNIVERSITY,VT,8,2,3.9,4.4,5.2
COMMUNITY CARE COLLEGE,OK,5,3,3.9,6.7,9.8
MOUNT VERNON NAZARENE UNIVERSITY,OH,8,2,3.9,4.2,6.6
EXCELSIOR COLLEGE,NY,8,2,3.9,4.5,4.3
VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,CA,8,2,3.9,4.4,4.9
JOHN BROWN UNIVERSITY,AR,8,2,3.9,3.1,4.8
VERMONT TECHNICAL COLLEGE,VT,8,1,3.9,5.5,6.8
LIM COLLEGE,NY,8,3,3.9,5.7,8.4
DREW UNIVERSITY,NJ,8,2,3.9,3,2.3
WITTENBERG UNIVERSITY,OH,8,2,3.9,6.3,6.4
ART CENTER COLLEGE OF DESIGN,CA,8,2,3.9,3.2,7.2
UNIVERSITY OF PUERTO RICO - MEDICAL SCIENCE CAMPUS,PR,8,1,3.9,2.9,11.8
JUDSON UNIVERSITY,IL,8,2,3.9,4.2,6
KETTERING COLLEGE,OH,8,2,3.9,3.4,6.4
WEST VIRGINIA JUNIOR COLLEGE,WV,5,3,3.9,6.2,8.1
HAMPDEN SYDNEY COLLEGE,VA,6,2,3.9,7.8,5
JUILLIARD SCHOOL (THE),NY,8,2,3.9,3.4,1.5
PENROSE ACADEMY,AZ,3,3,3.9,3.5,0
TEXAS COUNTY TECHNICAL INSTITUTE,MO,5,2,3.9,7.1,13.5
AMERICAN ADVANCED TECHNICIANS INSTITUTE,FL,2,3,3.9,14.1,15
MORGANTOWN BEAUTY COLLEGE,WV,4,3,3.9,10.9,10
MEADVILLE THEOLOGICAL SCHOOL OF LOMBARD COLLEGE,IL,8,2,3.9,6.9,6.2
UNIVERSITY OF OXFORD - ST ANTONY'S COLLEGE,FC,8,5,3.9,4.5,4.6
UNIVERSITY OF LIVERPOOL (THE),FC,8,5,3.9,3.9,3.3
UNIVERSITY OF LIMERICK,FC,8,5,3.9,5.1,2.7
UNIVERSITY OF READING,FC,8,5,3.9,0,0
UNIVERSITY OF PITTSBURGH - PITTSBURGH,PA,8,1,3.8,4.3,4.2
SAINT LOUIS UNIVERSITY,MO,8,2,3.8,4.3,4.7
UNIVERSITY OF COLORADO AT COLORADO SPRINGS,CO,8,1,3.8,2.8,2.7
NATIONAL LOUIS UNIVERSITY,IL,8,2,3.8,3.6,3.8
NEW JERSEY INSTITUTE OF TECHNOLOGY,NJ,8,1,3.8,4.1,4.9
UNIVERSITY OF THE ROCKIES,CO,8,3,3.8,4.3,6.6
IONA COLLEGE,NY,8,2,3.8,4.8,4.3
OKLAHOMA CITY UNIVERSITY,OK,8,2,3.8,4.8,7.8
COLORADO STATE UNIVERSITY - GLOBAL CAMPUS,CO,8,1,3.8,4.8,4
ROLLINS COLLEGE,FL,8,2,3.8,5.7,6
LA SIERRA UNIVERSITY,CA,8,2,3.8,5.6,6.3
MARYLAND INSTITUTE COLLEGE OF ART,MD,8,2,3.8,5,4.4
MERRIMACK COLLEGE,MA,8,2,3.8,2.8,4.5
WEST VIRGINIA JUNIOR COLLEGE,WV,5,3,3.8,5.7,6.5
NAROPA UNIVERSITY,CO,8,2,3.8,2.9,4
JOHN F. KENNEDY UNIVERSITY,CA,8,2,3.8,4.9,6.6
PIVOT POINT ACADEMY,IL,3,3,3.8,6.3,5.6
HENDRIX COLLEGE,AR,8,2,3.8,4.8,6.6
CALIFORNIA MARITIME ACADEMY,CA,8,1,3.8,3.8,5.8
VET TECH INSTITUTE,PA,5,3,3.8,5.4,9.6
CAROLINAS COLLEGE OF HEALTH SCIENCES,NC,5,1,3.8,0.6,5.4
ACADEMY OF HAIR DESIGN,MO,3,3,3.8,8.5,7.1
MERCY SCHOOL OF NURSING,NC,4,1,3.8,0,3.7
SAN JOSE STATE UNIVERSITY,CA,8,1,3.7,3.1,4.8
UNIVERSITY OF NORTH CAROLINA AT WILMINGTON (THE),NC,8,1,3.7,4.4,6.7
UNIVERSITY OF LA VERNE,CA,8,2,3.7,3.8,3.8
UNIVERSITY OF MARYLAND - BALTIMORE COUNTY,MD,8,1,3.7,4.9,5.6
UNIVERSITY OF WISCONSIN - STEVENS POINT,WI,8,1,3.7,3.2,4.1
UNIVERSITY OF NEW HAVEN,CT,8,2,3.7,2.6,3.8
CONCORDIA UNIVERSITY,IL,8,2,3.7,3.4,3.5
OLIVET NAZARENE UNIVERSITY,IL,8,2,3.7,4.3,4.7
MADONNA UNIVERSITY,MI,8,2,3.7,5.4,7.3
UNIVERSITY OF SAINT THOMAS,TX,8,2,3.7,4.2,6.8
EDGEWOOD COLLEGE,WI,8,2,3.7,2.4,4.2
CUNY GRADUATE SCHOOL & UNIVERSITY CENTER,NY,8,1,3.7,3,6.4
ASBURY UNIVERSITY,KY,8,2,3.7,3.8,5
ELMIRA COLLEGE,NY,8,2,3.7,4.3,7.1
HALLMARK UNIVERSITY,TX,8,2,3.7,4.8,6.9
GRACE COLLEGE AND THEOLOGICAL SEMINARY,IN,8,2,3.7,4.6,3.7
BELLUS ACADEMY,CA,4,3,3.7,5.3,6.2
GOUCHER COLLEGE,MD,8,2,3.7,3.8,3.5
CENTURA COLLEGE,VA,5,3,3.7,9.6,24.8
AWARD BEAUTY SCHOOL,MD,3,3,3.7,16.8,14.3
COLLEGE OF IDAHO (THE),ID,8,2,3.7,2.6,7.1
WELLSPRING SCHOOL OF ALLIED HEALTH,MO,5,3,3.7,3.5,4.6
COVENANT SCHOOL OF NURSING AND ALLIED HEALTH,TX,4,2,3.7,3.6,3.5
CONCORDIA UNIVERSITY,FC,8,5,3.7,5.8,10.5
CHICAGO THEOLOGICAL SEMINARY,IL,8,2,3.7,2.7,7.4
UNIVERSITY OF PRINCE EDWARD ISLAND,FC,8,5,3.7,6.2,5.5
OXFORD BROOKES UNIVERSITY,FC,8,5,3.7,0,4.4
WINEBRENNER THEOLOGICAL SEMINARY,OH,8,2,3.7,6.2,6.1
PITTSBURGH THEOLOGICAL SEMINARY,PA,8,2,3.7,5.2,6
MEMORIAL COLLEGE OF NURSING,NY,5,2,3.7,3.8,6
COLUMBIA THEOLOGICAL SEMINARY,GA,8,2,3.7,3.5,3.3
DIVERSIFIED VOCATIONAL COLLEGE,CA,3,3,3.7,3.1,12.1
UNIVERSITY OF SUSSEX,FC,8,5,3.7,0,6.6
SHARP'S ACADEMY OF HAIRSTYLING,MI,3,3,3.7,4,2.6
MICHIGAN STATE UNIVERSITY,MI,8,1,3.6,4,5.7
VIRGINIA COMMONWEALTH UNIVERSITY,VA,8,1,3.6,4.5,6
CHAMBERLAIN COLLEGE OF NURSING,IL,8,3,3.6,3.8,5.8
OREGON STATE UNIVERSITY,OR,8,1,3.6,3.9,5
SETON HALL UNIVERSITY,NJ,8,2,3.6,2.5,2.8
ROBERT MORRIS UNIVERSITY ILLINOIS,IL,8,2,3.6,5.7,5.8
LA SALLE UNIVERSITY,PA,8,2,3.6,4,3.8
SACRED HEART UNIVERSITY,CT,8,2,3.6,2.9,3.6
TEXAS CHRISTIAN UNIVERSITY,TX,8,2,3.6,3.2,4.3
"CALIFORNIA STATE UNIVERSITY, MONTEREY BAY",CA,8,1,3.6,5,7.6
STETSON UNIVERSITY,FL,8,2,3.6,4.2,5.1
CONCORDIA UNIVERSITY - SAINT PAUL,MN,8,2,3.6,4.4,6.4
"UNIVERSITY OF CALIFORNIA, MERCED",CA,8,1,3.6,5.2,7.3
LAWRENCE TECHNOLOGICAL UNIVERSITY,MI,8,2,3.6,5,8.5
NORTHWEST NAZARENE UNIVERSITY,ID,8,2,3.6,3.8,3.6
HOOD COLLEGE,MD,8,2,3.6,4,4.9
LORAS COLLEGE,IA,8,2,3.6,3.7,5.4
GODDARD COLLEGE,VT,8,2,3.6,6.8,9.2
HAMPSHIRE COLLEGE,MA,6,2,3.6,1.9,3.2
AMERICAN SENTINEL UNIVERSITY,CO,8,3,3.6,2.8,0
ST. PAUL'S SCHOOL OF NURSING,NY,5,3,3.6,3.3,2.3
WOFFORD COLLEGE,SC,6,2,3.6,2.3,2.6
BENNINGTON COLLEGE,VT,8,2,3.6,2.4,3.2
UNIVERSITY OF SPA & COSMETOLOGY ARTS,IL,3,3,3.6,5.4,7.9
PLATT COLLEGE - SAN DIEGO,CA,6,3,3.6,5.8,13.5
CHRIST COLLEGE OF NURSING AND HEALTH SCIENCES,OH,6,2,3.6,2.3,0
LAGUNA COLLEGE OF ART AND DESIGN,CA,8,2,3.6,8.3,8.4
UNIVERSITY OF ESSEX,FC,8,5,3.6,2.7,0
LOUISVILLE PRESBYTERIAN THEOLOGICAL SEMINARY,KY,8,2,3.6,4.9,4.8
IOWA STATE UNIVERSITY OF SCIENCE & TECHNOLOGY,IA,8,1,3.5,3.9,5.1
REGIS UNIVERSITY,CO,8,2,3.5,2.4,3.2
SUNY COLLEGE AT BROCKPORT,NY,8,1,3.5,3.7,5.6
ADELPHI UNIVERSITY,NY,8,2,3.5,3.2,3.7
STATE UNIVERSITY OF NEW YORK AT NEW PALTZ,NY,8,1,3.5,2.8,4.6
PLYMOUTH STATE UNIVERSITY OF THE UNIVERSITY SYSTEM OF NEW HAMPSHI,NH,8,1,3.5,5,6.4
THOMAS M. COOLEY LAW SCHOOL,MI,8,2,3.5,2.8,5.1
UNION UNIVERSITY,TN,8,2,3.5,3.5,4.1
VALPARAISO UNIVERSITY,IN,8,2,3.5,3,4.4
NORTH CENTRAL COLLEGE,IL,8,2,3.5,3.3,5.4
STATE UNIVERSITY OF NEW YORK POLYTECHNIC INSTITUTE,NY,8,1,3.5,4.6,6.3
MOUNT MERCY UNIVERSITY,IA,8,2,3.5,4.5,5.5
UNIVERSITY OF ANTELOPE VALLEY,CA,8,3,3.5,7.1,12
CORBAN UNIVERSITY,OR,8,2,3.5,2.5,3.7
ALBION COLLEGE,MI,6,2,3.5,3,5.3
MARANATHA BAPTIST UNIVERSITY,WI,8,2,3.5,2.2,0.9
JFK MEDICAL CENTER MUHLENBERG HAROLD B. AND DOROTHY A. SNYDER SCH,NJ,4,2,3.5,1.3,2
AMERICAN ACADEMY OF ART,IL,6,3,3.5,13.9,13.5
AVENUE FIVE INSTITUTE,TX,3,3,3.5,2.4,6.6
NORTH-WEST COLLEGE,CA,3,3,3.5,7.1,13.7
UNITED STATES UNIVERSITY,CA,8,3,3.5,3.9,3.9
CLEVELAND UNIVERSITY-KANSAS CITY,KS,8,2,3.5,5.2,6.7
AULTMAN COLLEGE OF NURSING AND HEALTH SCIENCES,OH,6,2,3.5,3.6,5.9
ARIA HEALTH SCHOOL OF NURSING,PA,11,2,3.5,3.4,7.4
HOUSE OF HEAVILIN BEAUTY COLLEGE,MO,3,3,3.5,13.7,6.5
CANNELLA SCHOOL OF HAIR DESIGN,IL,3,3,3.5,17.7,20.7
CROSSROADS COLLEGE,MN,6,2,3.5,8.7,12.7
LA' JAMES INTERNATIONAL COLLEGE,IA,4,3,3.5,8.7,5.2
CENTERPOINT MASSAGE & SHIATSU THERAPY SCHOOL & CLINIC,MN,3,3,3.5,4.2,2.2
NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE),MA,8,2,3.5,0,3.5
"CALIFORNIA STATE UNIVERSITY, LONG BEACH",CA,8,1,3.4,3.8,5.5
SAN DIEGO STATE UNIVERSITY,CA,8,1,3.4,3.6,5.2
TOWSON UNIVERSITY,MD,8,1,3.4,3.9,5.2
UNIVERSITY OF WISCONSIN - STOUT,WI,8,1,3.4,3.8,3.7
CUNY QUEENS COLLEGE,NY,8,1,3.4,4.5,6.5
COLLEGE OF SAINT ROSE,NY,8,2,3.4,4.5,4.9
CANISIUS COLLEGE,NY,8,2,3.4,3.7,5.1
SUNY COLLEGE AT ONEONTA,NY,8,1,3.4,3.1,6.5
HARDING UNIVERSITY,AR,8,2,3.4,3.1,4.4
COLLEGE OF SAINT SCHOLASTICA,MN,8,2,3.4,3.5,4.7
ARCADIA UNIVERSITY,PA,8,2,3.4,4.7,4.9
CONCORDIA UNIVERSITY,CA,8,2,3.4,2.4,3.5
UNIVERSITY OF FINDLAY (THE),OH,8,2,3.4,2.5,4.4
ALLIANT INTERNATIONAL UNIVERSITY,CA,8,3,3.4,2.7,2.7
PRESIDIO GRADUATE SCHOOL,CA,8,2,3.4,2.7,
PACIFIC LUTHERAN UNIVERSITY,WA,8,2,3.4,2.9,2.7
SHENANDOAH UNIVERSITY,VA,8,2,3.4,4.8,7.2
AMERICAN MUSICAL & DRAMATIC ACADEMY,NY,6,2,3.4,4.8,5.5
OTIS COLLEGE OF ART & DESIGN,CA,8,2,3.4,10.2,10.2
EARLHAM COLLEGE,IN,8,2,3.4,6.1,3.7
TRINITY COLLEGE,CT,8,2,3.4,1.6,3.3
GRINNELL COLLEGE,IA,6,2,3.4,2,3
WABASH COLLEGE,IN,6,2,3.4,6.9,10.1
LUTHER SEMINARY,MN,8,2,3.4,0,0
CAMEO BEAUTY ACADEMY,IL,3,3,3.4,3,7.6
QUEEN'S UNIVERSITY AT KINGSTON,FC,8,5,3.4,2.7,4.2
TRINITY COLLEGE OF NURSING AND HEALTH SCIENCES,IL,8,2,3.4,2,6
DANVILLE REGIONAL MEDICAL CENTER SCHOOL OF HEALTH PROFESSIONS,VA,5,3,3.4,4.3,3.3
HAIR PROFESSIONALS CAREER COLLEGE,IL,3,3,3.4,17,4.1
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",NJ,8,1,3.3,3.5,5.2
UNIVERSITY OF TEXAS AT AUSTIN,TX,8,1,3.3,3.6,4.7
DEPAUL UNIVERSITY,IL,8,2,3.3,4.3,6
WASHINGTON STATE UNIVERSITY,WA,8,1,3.3,3.3,4
GRAND VALLEY STATE UNIVERSITY,MI,8,1,3.3,3.9,5.1
UNIVERSITY OF UTAH,UT,8,1,3.3,3.2,3.9
UNIVERSITY OF COLORADO DENVER,CO,8,1,3.3,3.1,5
APPALACHIAN STATE UNIVERSITY,NC,8,1,3.3,3.4,4.8
HOFSTRA UNIVERSITY,NY,8,2,3.3,4.2,5.2
SAINT JOSEPH'S COLLEGE,NY,8,2,3.3,4,4.2
UNIVERSITY OF DETROIT MERCY,MI,8,2,3.3,4.2,6.1
EASTWICK COLLEGE,NJ,6,3,3.3,4.2,8.4
BRYAN COLLEGE,TN,8,2,3.3,3.6,6.9
BERRY COLLEGE,GA,8,2,3.3,2.2,4
WHEELOCK COLLEGE,MA,8,2,3.3,3.7,3.9
CLARKE UNIVERSITY,IA,8,2,3.3,4.2,6.1
WISCONSIN LUTHERAN COLLEGE,WI,8,2,3.3,3,2.9
REED COLLEGE,OR,8,2,3.3,2.4,2.3
UNIVERSITY OF GLASGOW,FC,8,5,3.3,2.1,2.8
MYOTHERAPY COLLEGE OF UTAH,UT,3,3,3.3,7.2,13.8
CRANBROOK ACADEMY OF ART,MI,8,2,3.3,0,1.8
TRI-STATE COLLEGE OF ACUPUNCTURE,NY,8,3,3.3,0,1.7
GEMOLOGICAL INSTITUTE OF AMERICA,CA,2,2,3.3,1.4,1.5
"ST. LUKE'S HOSPITAL OF BETHLEHEM, PA",PA,4,2,3.3,4.1,5.4
OMEGA STUDIOS' SCHOOL OF APPLIED RECORDING ARTS & SCIENCES,MD,3,3,3.3,17.9,51.7
UNIVERSITY OF OXFORD - ST HUGH'S COLLEGE,FC,8,5,3.3,0,0
APPALACHIAN COLLEGE OF PHARMACY,VA,7,2,3.3,0,0
STATE UNIVERSITY OF NEW YORK AT STONY BROOK,NY,8,1,3.2,2.9,5.1
LOYOLA UNIVERSITY CHICAGO,IL,8,2,3.2,3.3,4.6
MONTCLAIR STATE UNIVERSITY,NJ,8,1,3.2,2.6,3.3
NORTH DAKOTA STATE UNIVERSITY - FARGO,ND,8,1,3.2,3.7,3.3
SAINT JOSEPH'S UNIVERSITY,PA,8,2,3.2,3.7,4.4
GOVERNORS STATE UNIVERSITY,IL,8,1,3.2,4,7.4
GEORGIA COLLEGE & STATE UNIVERSITY,GA,8,1,3.2,3.2,3.9
BRADLEY UNIVERSITY,IL,8,2,3.2,2.1,2.9
MOLLOY COLLEGE,NY,8,2,3.2,3.7,3.9
UNIVERSITY OF ST. FRANCIS,IL,8,2,3.2,4.7,3.6
DESALES UNIVERSITY,PA,8,2,3.2,4.8,3.1
ROBERTS WESLEYAN COLLEGE,NY,8,2,3.2,4,4.9
MILWAUKEE SCHOOL OF ENGINEERING,WI,8,2,3.2,3.1,4.5
NORTH-WEST COLLEGE,CA,4,3,3.2,9.1,14.6
URSINUS COLLEGE,PA,6,2,3.2,1.2,2.9
INSTITUTE OF CULINARY EDUCATION,NY,3,3,3.2,2.4,4.5
PAUL MITCHELL THE SCHOOL BRADLEY,IL,3,3,3.2,9.6,5.9
RIPON COLLEGE,WI,6,2,3.2,4.4,6.3
CORNISH COLLEGE OF THE ARTS,WA,6,2,3.2,3.1,6.3
RIVERSIDE COLLEGE OF HEALTH CAREERS,VA,5,2,3.2,3.7,3
OHIO VALLEY COLLEGE OF TECHNOLOGY,OH,5,3,3.2,4,8.7
SAINT JOHN'S COLLEGE,NM,8,2,3.2,5.2,3.9
SAINT JOSEPH'S COLLEGE OF NURSING AT ST JOSEPH'S HOSPITAL HEALTH,NY,5,2,3.2,0.6,0.9
HAVERFORD COLLEGE,PA,8,2,3.2,0.7,3.3
SPA SCHOOL (THE),OH,4,3,3.2,7,11.1
FAITH BAPTIST BIBLE COLLEGE & THEOLOGICAL SEMINARY,IA,8,2,3.2,2.9,2.9
AMERICAN JEWISH UNIVERSITY,CA,8,2,3.2,1.2,4.3
Z HAIR ACADEMY,KS,3,3,3.2,8.8,10.9
NORTHLAND CAREER CENTER,MO,3,1,3.2,13.7,20
TRENDSETTERS OF FL. SCHOOL OF BEAUTY & BARBERING,FL,3,3,3.2,9.3,20
GENERAL THEOLOGICAL SEMINARY OF THE EPISCOPAL CHURCH (THE),NY,8,2,3.2,5,9
JAMES COOK UNIVERSITY,FC,8,5,3.2,5.7,6.4
AUSTIN GRADUATE SCHOOL OF THEOLOGY,TX,8,2,3.2,2.7,3
UNIVERSITY OF GUELPH,FC,8,5,3.2,2.8,2.7
LUTHERAN THEOLOGICAL SEMINARY - GETTYSBURG,PA,8,2,3.2,4.4,0
NOVA SOUTHEASTERN UNIVERSITY,FL,8,2,3.1,3.2,3.5
DREXEL UNIVERSITY,PA,8,2,3.1,3.1,3.5
STATE UNIVERSITY OF NEW YORK AT BUFFALO,NY,8,1,3.1,3.1,4.5
UNIVERSITY OF COLORADO BOULDER,CO,8,1,3.1,2.7,4.7
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",CA,8,1,3.1,3.4,5.7
SUFFOLK UNIVERSITY,MA,8,2,3.1,3.7,7.1
SALISBURY UNIVERSITY,MD,8,1,3.1,4.3,6.5
XAVIER UNIVERSITY,OH,8,2,3.1,2.7,3.7
UNIVERSITY OF SCRANTON,PA,8,2,3.1,3.2,4
PIEDMONT COLLEGE,GA,8,2,3.1,3.6,5.4
SAINT MARY'S COLLEGE OF CALIFORNIA,CA,8,2,3.1,3.9,4.6
JERSEY COLLEGE,NJ,5,3,3.1,4.1,3.7
LONGWOOD UNIVERSITY,VA,8,1,3.1,3.9,3.6
UNIVERSITY OF SAINT JOSEPH,CT,8,2,3.1,5.8,3.6
ENDICOTT COLLEGE,MA,8,2,3.1,2.2,2.8
UNIVERSITY OF SIOUX FALLS,SD,8,2,3.1,5.6,4.3
LEBANON VALLEY COLLEGE,PA,8,2,3.1,2.2,1.4
EDP UNIVERSITY OF PUERTO RICO,PR,8,2,3.1,4,17
SAINT VINCENT'S COLLEGE,CT,6,2,3.1,1.8,1.2
PAUL MITCHELL THE SCHOOL LOGAN,UT,4,3,3.1,15.7,20.6
AMERICAN COLLEGE OF ACUPUNCTURE & ORIENTAL MEDICINE,TX,8,3,3.1,8.1,9.7
MONTESSORI INSTITUTE OF MILWAUKEE,WI,1,2,3.1,3.4,5.5
ARNOT OGDEN MEDICAL CENTER,NY,4,2,3.1,4.1,3.2
AMERICAN CONSERVATORY THEATER FOUNDATION,CA,8,2,3.1,5.4,2.3
BEN-GURION UNIVERSITY OF THE NEGEV,FC,8,5,3.1,0,0
INDIANA UNIVERSITY - BLOOMINGTON,IN,8,1,3,3.9,5.9
UNIVERSITY OF MASSACHUSETTS - AMHERST,MA,8,1,3,4,5.6
UNIVERSITY OF OREGON,OR,8,1,3,4.6,5.8
SYRACUSE UNIVERSITY,NY,8,2,3,3.3,3.7
ROCHESTER INSTITUTE OF TECHNOLOGY,NY,8,2,3,4.2,5.2
CENTURA COLLEGE,VA,6,3,3,11.8,23.7
ANTIOCH UNIVERSITY,OH,8,2,3,3.4,4.4
SAINT JOHN FISHER COLLEGE,NY,8,2,3,3.5,4.4
